,ITEM_ID,REF_DOC,REF_PAGE_NO,MINISTRY,BUDGETARY_UNIT,CROSS_FUNC?,BUDGET_PLAN,OUTPUT,PROJECT,CATEGORY_LV1,CATEGORY_LV2,CATEGORY_LV3,CATEGORY_LV4,CATEGORY_LV5,CATEGORY_LV6,ITEM_DESCRIPTION,FISCAL_YEAR,AMOUNT,OBLIGED?,DEBUG_LOG
0,2022.3.3(4).0,2022.3.3(4),8,กระทรวงการอุดมศึกษา วิทยาศาสตร์ วิจัยและนวัตกรรม (4),มหาวิทยาลัยเทคโนโลยีพระจอมเกล้าพระนครเหนือ,False,แผนงานบุคลากรภาครัฐ,,,งบบุคลากร,เงินเดือนและค่าจ้างประจำ,เงินเดือน,,,,,2022,"108,716,100",False,
1,2022.3.3(4).1,2022.3.3(4),8,กระทรวงการอุดมศึกษา วิทยาศาสตร์ วิจัยและนวัตกรรม (4),มหาวิทยาลัยเทคโนโลยีพระจอมเกล้าพระนครเหนือ,False,แผนงานบุคลากรภาครัฐ,,,งบบุคลากร,เงินเดือนและค่าจ้างประจำ,ค่าจ้างประจำ,,,,,2022,"6,947,800",False,
2,2022.3.3(4).2,2022.3.3(4),8,กระทรวงการอุดมศึกษา วิทยาศาสตร์ วิจัยและนวัตกรรม (4),มหาวิทยาลัยเทคโนโลยีพระจอมเกล้าพระนครเหนือ,False,แผนงานบุคลากรภาครัฐ,,,งบเงินอุดหนุน,เงินอุดหนุนทั่วไป,ค่าจ้างพนักงานมหาวิทยาลัย,,,,,2022,"1,312,066,800",False,
3,2022.3.3(4).3,2022.3.3(4),8,กระทรวงการอุดมศึกษา วิทยาศาสตร์ วิจัยและนวัตกรรม (4),มหาวิทยาลัยเทคโนโลยีพระจอมเกล้าพระนครเหนือ,False,แผนงานบุคลากรภาครัฐ,,,งบเงินอุดหนุน,เงินอุดหนุนทั่วไป,ค่าใช้จ่ายดำเนินงาน,,,,,2022,"37,520,700",False,
4,2022.3.3(4).4,2022.3.3(4),10,กระทรวงการอุดมศึกษา วิทยาศาสตร์ วิจัยและนวัตกรรม (4),มหาวิทยาลัยเทคโนโลยีพระจอมเกล้าพระนครเหนือ,False,แผนงานพื้นฐานด้านการพัฒนาและเสริมสร้างศักยภาพทรัพยากรมนุษย์,ผู้สำเร็จการศึกษาด้านวิทยาศาสตร์และเทคโนโลยี,,งบเงินอุดหนุน,เงินอุดหนุนทั่วไป,ค่าใช้จ่ายดำเนินงาน,,,,,2022,"31,983,300",False,
5,2022.3.3(4).5,2022.3.3(4),10,กระทรวงการอุดมศึกษา วิทยาศาสตร์ วิจัยและนวัตกรรม (4),มหาวิทยาลัยเทคโนโลยีพระจอมเกล้าพระนครเหนือ,False,แผนงานพื้นฐานด้านการพัฒนาและเสริมสร้างศักยภาพทรัพยากรมนุษย์,ผู้สำเร็จการศึกษาด้านวิทยาศาสตร์และเทคโนโลยี,,งบเงินอุดหนุน,เงินอุดหนุนทั่วไป,ค่าครุภัณฑ์,,,,ครุภัณฑ์สำนักงานที่มีราคาต่อหน่วยต่ำกว่า 1 ล้านบาท รวม 9 รายการ (รวม 92 หน่วย),2022,"4,105,300",False,
6,2022.3.3(4).6,2022.3.3(4),10,กระทรวงการอุดมศึกษา วิทยาศาสตร์ วิจัยและนวัตกรรม (4),มหาวิทยาลัยเทคโนโลยีพระจอมเกล้าพระนครเหนือ,False,แผนงานพื้นฐานด้านการพัฒนาและเสริมสร้างศักยภาพทรัพยากรมนุษย์,ผู้สำเร็จการศึกษาด้านวิทยาศาสตร์และเทคโนโลยี,,งบเงินอุดหนุน,เงินอุดหนุนทั่วไป,ค่าครุภัณฑ์,,,,ครุภัณฑ์คอมพิวเตอร์ที่มีราคาต่อหน่วยตำกว่า 1 ล้านบาท รวม 22 รายการ (รวม 139 หน่วย),2022,"5,449,300",False,
7,2022.3.3(4).7,2022.3.3(4),10,กระทรวงการอุดมศึกษา วิทยาศาสตร์ วิจัยและนวัตกรรม (4),มหาวิทยาลัยเทคโนโลยีพระจอมเกล้าพระนครเหนือ,False,แผนงานพื้นฐานด้านการพัฒนาและเสริมสร้างศักยภาพทรัพยากรมนุษย์,ผู้สำเร็จการศึกษาด้านวิทยาศาสตร์และเทคโนโลยี,,งบเงินอุดหนุน,เงินอุดหนุนทั่วไป,ค่าครุภัณฑ์,,,,ระบบเครือข่ายคอมพิวเตอร์ อุทยานเทคโนโลยีกรุงเทพฯ แขวงวงศ์สว่าง เขตบางซื่อ กรุงเทพมหานคร 1 ระบบ,2022,"9,079,200",False,
8,2022.3.3(4).8,2022.3.3(4),10,กระทรวงการอุดมศึกษา วิทยาศาสตร์ วิจัยและนวัตกรรม (4),มหาวิทยาลัยเทคโนโลยีพระจอมเกล้าพระนครเหนือ,False,แผนงานพื้นฐานด้านการพัฒนาและเสริมสร้างศักยภาพทรัพยากรมนุษย์,ผู้สำเร็จการศึกษาด้านวิทยาศาสตร์และเทคโนโลยี,,งบเงินอุดหนุน,เงินอุดหนุนทั่วไป,ค่าครุภัณฑ์,,,,ครุภัณฑ์โฆษณาและเผยแพร่ที่มีราคาต่อหน่วยต่ำกว่า 1 ล้านบาท รวม 11 รายการ (รวม 57 หน่วย),2022,"3,489,900",False,
9,2022.3.3(4).9,2022.3.3(4),10,กระทรวงการอุดมศึกษา วิทยาศาสตร์ วิจัยและนวัตกรรม (4),มหาวิทยาลัยเทคโนโลยีพระจอมเกล้าพระนครเหนือ,False,แผนงานพื้นฐานด้านการพัฒนาและเสริมสร้างศักยภาพทรัพยากรมนุษย์,ผู้สำเร็จการศึกษาด้านวิทยาศาสตร์และเทคโนโลยี,,งบเงินอุดหนุน,เงินอุดหนุนทั่วไป,ค่าครุภัณฑ์,,,,ครุภัณฑ์การศึกษาที่มีราคาต่อหน่วยต่ำกว่า 1 ล้านบาท รวม 40 รายการ (รวม 96 หน่วย),2022,"20,418,700",False,
